Altium Designer Pick and Place Locations
D:\svn\applications\hardware\pca10143\tags\0.7.2\production_files\400631_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       06.12.22
Time:       14:02
Revision:   26970
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U8","nRF7002_QFAA","TopLayer","QFN40P600X600X60-48N","116.2778","19.6088","180","Wifi Dual Band Companion chip"
"C94","N.C.","TopLayer","CAPC0603X03L_C_NC","126.7250","6.4500","180","Not mounted"
"C93","10µF","TopLayer","CAPC1608X06L","19.7660","27.1365","270","Capacitor, X5R, ±20%, 25V"
"Q10","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","117.4750","12.8750","0","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW"
"Q8","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","123.3000","54.5111","0","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW"
"Q4","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","123.3000","57.2611","0","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW"
"JP2","Shunt 2.54mm","TopLayer","Shunt_2.54mm_Horizontal","-148.0884","-174.6130","270","Shunt Jumper 2.54mm Black, open top"
"JP1","Shunt 2.54mm","TopLayer","Shunt_2.54mm_Horizontal","-148.0884","-174.6130","270","Shunt Jumper 2.54mm Black, open top"
"J7","MM8130-2600","TopLayer","COAXIAL-SWF","124.4000","28.9750","0","Coaxial Connector with Switch"
"U16","TCK106AG","TopLayer","BGA4C40P2X2_76X76X62","118.9750","13.9750","0","1.0 A Load Switch IC with Slew Rate Control Driver in Ultra Small Package"
"A1","2450AD18A6050","TopLayer","2450AD18A6050","135.0000","5.8500","270","2.4, 5, and 6GHz BT/WiFi6E Mini Antenna, Single-feed, Tri-band, Corner Mount"
"SB60","Solderbridge","TopLayer","Solderbridge","84.8250","42.7250","180","Solderbridge"
"SB14","Solderbridge","BottomLayer","Solderbridge","99.2350","28.4626","90","Solderbridge"
"SB13","Solderbridge","BottomLayer","Solderbridge","96.6950","28.4626","90","Solderbridge"
"SB12","Solderbridge","BottomLayer","Solderbridge","97.9650","28.4626","90","Solderbridge"
"SB11","Solderbridge","BottomLayer","Solderbridge","95.4250","28.4626","90","Solderbridge"
"U15","MX25R6435F","TopLayer","SON127P600X80_HS-9N","94.8000","23.1200","90","Ultra low power, 64M-bit, serial multi I/O flash memory"
"SB10","Solderbridge","TopLayer","Solderbridge","91.7250","27.9000","270","Solderbridge"
"R66","N.C.","TopLayer","RESC0603X03L_C_NC","93.8750","26.9250","180","Not mounted"
"R65","N.C.","TopLayer","RESC0603X03L_C_NC","95.4250","19.0750","270","Not mounted"
"C92","100nF","TopLayer","CAPC0603X03L_C","92.9000","27.2250","270","Capacitor, X5R, ±10%"
"U13","BGS12xN6","TopLayer","TSNP-6-8","123.4250","38.4000","180","Wideband SPDT RF Switch, 50MHz-6GHz. Max 30dBm, 1.8-3.5V"
"U50","BGS12xN6","TopLayer","TSNP-6-8","124.6000","21.0000","0","Wideband SPDT RF Switch, 50MHz-6GHz. Max 30dBm, 1.8-3.5V"
"R41","100k","TopLayer","RESC0603X03L_C","122.9250","37.1000","180","Resistor, ±1%, 0.05W"
"L40","3.3nH","TopLayer","INDC0603X03L_C","134.5751","52.6499","270","Inductor, 500mA, ±0.1nH, 170mOhm"
"C91","0.5pF","TopLayer","CAPC0603X03L_C","134.2900","53.4750","0","Capacitor, NP0, ±0.05pF"
"C90","N.C.","TopLayer","CAPC0603X03L_C_NC","134.2900","51.8250","0","Not mounted"
"A2","2450AT18D0100","TopLayer","2450AT18D0100_STD-R","135.2251","55.9001","270","2.45 GHz chip antenna"
"R62","100k","TopLayer","RESC0603X03L_C","117.5250","11.7250","0","Resistor, ±1%, 0.05W"
"R59","100k","TopLayer","RESC0603X03L_C","117.7750","14.0250","270","Resistor, ±1%, 0.05W"
"SB17","Solderbridge","TopLayer","Solderbridge","83.1750","42.7250","180","Solderbridge"
"C70","10µF","TopLayer","CAPC1608X06L","18.7250","9.9500","0","Capacitor, Ceramic, X5R, ±20%, 25V"
"U7","XC9236","TopLayer","USP-6C","22.7264","12.2500","0","600mA Driver Transistor Built-In, Synchronous Step-Down DC/DC Converters"
"R39","160k","TopLayer","RESC0603X03L_C","22.2946","10.1000","180","Resistor, ±1%, 0.05W"
"R38","560k","TopLayer","RESC0603X03L_C","21.0754","9.5250","180","Resistor, ±1%, 0.05W"
"L8","4.7µH","TopLayer","TY-NR3015","19.3990","12.2750","270","Ferrite Inductor, Shielded, 1,04A, 144mOhm"
"D8","NSR0620P2T5G","TopLayer","SODFL100X40-2N","25.2000","13.8750","0","20V schottky barrier diode, Vf 350 mV @ 100 mA, Ir 2.0 µA @ 10 V, If 500 mA"
"C69","150pF","TopLayer","CAPC0603X03L_C","21.0754","10.1000","180","Capacitor, Ceramic, NP0, ±5%, 25V"
"C66","4.7µF","TopLayer","CAPC1005X04L","23.2500","13.8750","0","Capacitor, X5R, 10V"
"R37","100k","TopLayer","RESC0603X03L_C","116.5000","13.5750","270","Resistor, ±1%, 0.05W"
"R36","100k","TopLayer","RESC0603X03L_C","115.9250","13.5750","270","Resistor, ±1%, 0.05W"
"R81","0R","TopLayer","RESC0603X03L_C","127.0250","5.6250","90","Resistor, ±5%, 0.05W"
"L80","1.5nH","TopLayer","INDC0603X03L_C","127.2999","4.2999","180","Inductor, 1000mA, ±0.1nH, 50mOhm"
"C71","100nF","TopLayer","CAPC0603X03L_C","120.4500","17.0250","0","Capacitor, Ceramic, 100nF 16V X7S 0201,±10%"
"C68","2.2µF","TopLayer","CAPC1608X06L","119.3000","15.5250","0","Capacitor, Ceramic, 2.2µF 16V X7S 0603,±10%"
"R4","100k","TopLayer","RESC0603X03L_C","110.6000","19.8250","90","Resistor, ±1%, 0.05W"
"J1","MM8130-2600","TopLayer","COAXIAL-SWF","125.7250","15.2750","0","Coaxial Connector with Switch"
"C46","N.C.","TopLayer","CAPC0603X03L_C_NC","125.4250","17.1750","180","Not mounted"
"C89","N.C.","TopLayer","CAPC0603X03L_C_NC","126.7250","4.8250","180","Not mounted"
"C22","10nF","TopLayer","CAPC0603X03L_C","31.9694","19.0154","180","Capacitor, X7R, ±10%"
